role,applyLink,company,experience,salary,location,jobSummary,skills
Junior Data Analyst,https://www.timesjobs.com/job-detail/junior-data-analyst-publicis-groupe-mumbai-pune-gurgaon-0-to-1-yrs-jobid-iV__SLASH__TxjJkUP1zpSvf__PLUS__uAgZw==&source=srp,PUBLICIS GROUPE,0 - 1 Years,Not disclosed,"Mumbai, Pune, Gurgaon","Junior Data AnalystCompany DescriptionPGD is a center of expertise catering to international markets on a full spectrum of digital , data and tech se...",data analysis social platforms data cleaning campaign evaluation troubleshooting learning processing performance management +5 more
Data Analyst,https://www.shine.com/jobs/data-analyst/cindrebay-school-of-design/16651235,Cindrebay School of Design,2 to 6 Yrs,"Other Kerala
+1",Data models • Database design+7
Systems Integration Data Analyst,https://www.shine.com/jobs/systems-integration-data-analyst/ntt-data/16667735,NTT DATA,3 to 7 Yrs,Other Karnataka,Endevor • XCOM • Complex Scheduling+10
Online Data Analyst - Odia Speakers (WFH),https://www.shine.com/jobs/online-data-analyst-odia-speakers-wfh/telus-digital-ai-data-solutions/16644084,TELUS Digital AI Data Solutions,0 to 4 Yrs,All India,Research • Geography • Data Analysis+5
Online Data Analyst - Punjabi Language,https://www.shine.com/jobs/online-data-analyst-punjabi-language/telus-digital-ai-data-solutions/16657878,TELUS Digital AI Data Solutions,0 to 4 Yrs,All India,Research • Geography • Data Analysis+7
Odia-speaking Online Data Analyst (Work from Home),https://www.shine.com/jobs/odia-speaking-online-data-analyst-work-from-home/telus-digital-ai-data-solutions/16662352,TELUS Digital AI Data Solutions,0 to 4 Yrs,All India,Research • Geography • Data Analysis+4
WFH Online Data Analyst (Marathi Speakers),https://www.shine.com/jobs/wfh-online-data-analyst-marathi-speakers/telus-digital-ai-data-solutions/16664794,TELUS Digital AI Data Solutions,0 to 4 Yrs,All India,Research • Geography • Data Analysis+5
Odia-speaking Online Data Analyst (Flexible Hours),https://www.shine.com/jobs/odia-speaking-online-data-analyst-flexible-hours/telus-digital-ai-data-solutions/16668842,TELUS Digital AI Data Solutions,0 to 4 Yrs,All India,Research • Geography • Data Analysis+5
Data Analyst,https://www.shine.com/jobs/data-analyst/tercelherbs-private-limited/16669064,TERCELHERBS PRIVATE LIMITED,5 to 9 Yrs,"Other Assam
+9",data management • data analytics+5
Salesforce Data Analyst,https://www.shine.com/jobs/salesforce-data-analyst/ansys/16568611,Ansys,2 to 6 Yrs,Other Maharashtra,Data Mapping • Data Migration+16
Reliability Data Analyst,https://www.shine.com/jobs/reliability-data-analyst/pinnacle/16581089,Pinnacle,3 to 7 Yrs,"Hyderabad
+1",Engineering projects • Risk assessment+7
Recurring Quality Data Analyst,https://www.shine.com/jobs/recurring-quality-data-analyst/schneider-electric/16586781,Schneider Electric,3 to 7 Yrs,All India,Data analysis • Segmentation+9
Sr. Data Analyst for Mumbai,https://www.shine.com/jobs/sr-data-analyst-for-mumbai/talent-leads-hr-solutions/16593287,Talent Leads HR Solutions,3 to 7 Yrs,Other Maharashtra,Python • R • SQL+8
SAP PLM Product Data Analyst,https://www.shine.com/jobs/sap-plm-product-data-analyst/bayer/16597601,Bayer,3 to 7 Yrs,Other Karnataka,SAP PLM • Data Management+32
Interesting Opportunity Skyplusnews - Data Analyst,https://www.shine.com/jobs/interesting-job-opportunity-skyplusnews-data-analyst/skyplusnews/16599365,Skyplusnews,2 to 6 Yrs,All India,Data Models • Database Design+19
Engineering Data Analyst,https://www.shine.com/jobs/engineering-data-analyst/alstom/16630018,Alstom,3 to 7 Yrs,Other Karnataka,databases • data analysis+11
2025 2 Insight Data Analyst,https://www.shine.com/jobs/2-insight-data-analyst/lotte-energy-materials-co-ltd/16629537,"LOTTE Energy Materials Co., Ltd.",0 to 5 Yrs,"Other Rajasthan
+1",CRM • DBMS • Python • R • RDBMS+7
Junior Data Analyst - ESG Data,https://www.shine.com/jobs/junior-data-analyst-esg-data/institutional-shareholder-services/16632309,Institutional Shareholder Services,0 to 4 Yrs,Other Maharashtra,Data Collection • Research • MS Office+7
Associate Data Analyst,https://www.shine.com/jobs/associate-data-analyst/toolify-private-limited/16590648,Toolify Private Limited,1 to 5 Yrs,All India,Databases • SQL • Programming • XML+18
Data Analyst,https://www.shine.com/jobs/data-analyst/bunge/16595931,Bunge,6 to 10 Yrs,Other Punjab,Master Data Management • SAP MDG+9
Data Analyst - Build world-class BI solutions to drive ...,https://www.shine.com/jobs/data-analyst-build-world-class-bi-solutions-to-drive-business-growth/mindstix-software-labs/16601447,Mindstix Software Labs,3 to 7 Yrs,"Other Maharashtra
+1",Data Analysis • Quality Assurance+29
